공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
반포 한강공원,서울,서초구,신반포로11길 40,11360,171128,135100,110519,2019-09-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6450,51970,38760,69325,2019-09-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,218416,448180,471261,124181,2019-09-30 0:00
양화 한강공원,서울,영등포구,노들로 221,3610,71508,24613,97261,2019-09-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,4187,29540,26960,70238,2019-09-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4504,48738,46134,95679,2019-08-14 0:00
망원 한강공원,서울,마포구,마포나루길 467,4206,29572,36783,85977,2019-08-08 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,146250,504250,408380,357540,2019-08-07 0:00
난지 한강공원,서울,마포구,한강난지로 22,8257,60585,58995,92557,2019-08-07 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7440,50190,41500,71430,2019-08-01 0:00
여의도 한강공원,서울,영등포구,여의동로 280,129133,145604,582813,150412,2019-08-01 0:00
양화 한강공원,서울,영등포구,노들로 221,2860,83842,24172,105311,2019-08-01 0:00
반포 한강공원,서울,서초구,신반포로11길 40,6600,140557,141649,118612,2019-08-01 0:00
잠원 한강공원,서울,강남구,강남대로 708,3190,16170,26860,36365,2019-08-01 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15630,66790,56010,79128,2019-08-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,14200,61955,94677,128148,2019-08-01 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4376,37133,37652,81974,2019-07-01 0:00
난지 한강공원,서울,마포구,한강난지로 22,9205,56750,54000,88580,2019-07-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,13405,47726,69320,142500,2019-07-01 0:00
망원 한강공원,서울,마포구,마포나루길 467,3049,39319,38316,86369,2019-07-01 0:00
양화 한강공원,서울,영등포구,노들로 221,3085,62148,19447,83292,2019-07-01 0:00
여의도 한강공원,서울,영등포구,여의동로 280,112520,213790,238585,148915,2019-07-01 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6920,50260,38160,71370,2019-07-01 0:00
반포 한강공원,서울,서초구,신반포로11길 40,8940,126162,137951,90886,2019-07-01 0:00
잠원 한강공원,서울,강남구,강남대로 708,3370,16860,21335,35090,2019-07-01 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,138350,513610,276950,302755,2019-07-01 0:00
광나루 한강공원,서울,강동구,선사로 83-106,14980,67650,60902,68584,2019-07-01 0:00
망원 한강공원,서울,마포구,마포나루길 467,3162,43779,36892,93637,2019-06-20 0:00
양화 한강공원,서울,영등포구,노들로 221,2601,71076,19026,91713,2019-06-14 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7140,50280,31700,75520,2019-06-13 0:00
난지 한강공원,서울,마포구,한강난지로 22,9635,71095,55830,107630,2019-06-12 0:00
여의도 한강공원,서울,영등포구,여의동로 280,20390,261490,283630,154600,2019-06-12 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,233250,495900,442970,265075,2019-06-12 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3143,43091,33236,108026,2019-06-05 0:00
반포 한강공원,서울,서초구,신반포로11길 40,7902,174158,176789,137239,2019-06-05 0:00
광나루 한강공원,서울,강동구,선사로 83-106,20835,97515,47070,90669,2019-06-04 0:00
잠원 한강공원,서울,강남구,강남대로 708,3020,22069,27470,34812,2019-06-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,12935,80175,78425,150175,2019-06-01 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2982,41553,34422,108177,2019-05-29 0:00
잠원 한강공원,서울,강남구,강남대로 708,3495,19720,27870,38030,2019-05-22 0:00
양화 한강공원,서울,영등포구,노들로 221,2423,52007,27384,62963,2019-05-22 0:00
잠실 한강공원,서울,송파구,한가람로 65,13015,60230,58680,144175,2019-05-22 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,351500,616630,527070,219880,2019-05-21 0:00
난지 한강공원,서울,마포구,한강난지로 22,8611,76471,51385,110118,2019-05-17 0:00
망원 한강공원,서울,마포구,마포나루길 467,5431,50856,41934,98677,2019-05-16 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3116,252212,414901,193056,2019-05-16 0:00
광나루 한강공원,서울,강동구,선사로 83-106,16670,77180,63630,93124,2019-05-15 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7280,51270,32470,79700,2019-05-15 0:00
여의도 한강공원,서울,영등포구,여의동로 280,51160,382220,335250,147130,2019-05-02 0:00
양화 한강공원,서울,영등포구,노들로 221,2521,73137,35540,86306,2019-04-24 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6740,48120,25020,67910,2019-04-24 0:00
난지 한강공원,서울,마포구,한강난지로 22,6238,62051,39641,74297,2019-04-17 0:00
잠실 한강공원,서울,송파구,한가람로 65,14580,61650,50955,131480,2019-04-17 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,246400,634150,425440,291210,2019-04-17 0:00
잠원 한강공원,서울,강남구,강남대로 708,3425,22337,23960,36773,2019-04-17 0:00
망원 한강공원,서울,마포구,마포나루길 467,3444,58366,34958,86925,2019-04-16 0:00
반포 한강공원,서울,서초구,신반포로11길 40,10410,178294,255245,134496,2019-04-16 0:00
여의도 한강공원,서울,영등포구,여의동로 280,20160,270756,236570,190950,2019-04-12 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2420,36279,25527,109797,2019-04-11 0:00
광나루 한강공원,서울,강동구,선사로 83-106,14680,87130,46500,85142,2019-04-10 0:00
잠실 한강공원,서울,송파구,한가람로 65,13760,54060,44795,118560,2019-03-29 0:00
반포 한강공원,서울,서초구,신반포로11길 40,5500,144497,104839,109816,2019-03-20 0:00
여의도 한강공원,서울,영등포구,여의동로 280,16420,125740,106390,143280,2019-03-20 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2795,35710,27215,99722,2019-03-14 0:00
망원 한강공원,서울,마포구,마포나루길 467,8106,35023,25520,80104,2019-03-13 0:00
난지 한강공원,서울,마포구,한강난지로 22,5219,49924,32534,62788,2019-03-13 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7100,52260,26050,70220,2019-03-13 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,144800,433900,327610,305120,2019-03-12 0:00
광나루 한강공원,서울,강동구,선사로 83-106,16080,74780,41290,71644,2019-03-12 0:00
양화 한강공원,서울,영등포구,노들로 221,1938,59078,27320,73815,2019-03-12 0:00
잠원 한강공원,서울,강남구,강남대로 708,3770,25070,22520,35400,2019-03-06 0:00
잠원 한강공원,서울,강남구,강남대로 708,2150,8060,7987,26252,2019-02-28 0:00
광나루 한강공원,서울,강동구,선사로 83-106,13342,68630,27960,47172,2019-02-27 0:00
여의도 한강공원,서울,영등포구,여의동로 280,8870,73530,47665,65325,2019-02-20 0:00
양화 한강공원,서울,영등포구,노들로 221,2544,30454,14535,29708,2019-02-20 0:00
망원 한강공원,서울,마포구,마포나루길 467,5988,46434,33400,66600,2019-02-19 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5540,41470,18240,51740,2019-02-19 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,129761,338361,231222,155345,2019-02-14 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2140,33707,25003,75130,2019-02-12 0:00
반포 한강공원,서울,서초구,신반포로11길 40,9477,132166,77226,64401,2019-02-12 0:00
난지 한강공원,서울,마포구,한강난지로 22,4034,34780,23160,40154,2019-02-11 0:00
잠실 한강공원,서울,송파구,한가람로 65,11090,41510,39715,90250,2019-02-07 0:00
광나루 한강공원,서울,강동구,선사로 83-106,14770,75470,31290,59366,2019-01-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,9820,89850,76950,69120,2019-01-24 0:00
난지 한강공원,서울,마포구,한강난지로 22,5498,40653,27110,48534,2019-01-24 0:00
망원 한강공원,서울,마포구,마포나루길 467,3167,46385,30911,65533,2019-01-23 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6630,42360,20550,51710,2019-01-23 0:00
양화 한강공원,서울,영등포구,노들로 221,5645,30820,13403,31373,2019-01-22 0:00
잠원 한강공원,서울,강남구,강남대로 708,3710,18910,25595,0,2019-01-22 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,103600,305750,232260,162375,2019-01-17 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4516,33289,24334,86820,2019-01-16 0:00
잠실 한강공원,서울,송파구,한가람로 65,14400,46380,41850,102195,2019-01-15 0:00
반포 한강공원,서울,서초구,신반포로11길 40,8300,110230,45333,59651,2019-01-10 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4550,32492,22348,66436,2018-12-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,16592,102443,97736,57673,2018-12-28 0:00
난지 한강공원,서울,마포구,한강난지로 22,5505,39987,28979,49212,2018-12-27 0:00
광나루 한강공원,서울,강동구,선사로 83-106,13120,65810,35370,55157,2018-12-27 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,98200,308000,246270,118328,2018-12-26 0:00
망원 한강공원,서울,마포구,마포나루길 467,3036,41325,28243,59386,2018-12-26 0:00
잠원 한강공원,서울,강남구,강남대로 708,3288,19911,19012,22126,2018-12-20 0:00
양화 한강공원,서울,영등포구,노들로 221,3830,19916,10568,24295,2018-12-19 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6090,39960,16120,43630,2018-12-19 0:00
여의도 한강공원,서울,영등포구,여의동로 280,11370,89675,73399,79636,2018-12-18 0:00
잠실 한강공원,서울,송파구,한가람로 65,14640,42770,42755,87135,2018-12-13 0:00
광나루 한강공원,서울,강동구,선사로 83-106,12840,66490,34150,84150,2018-11-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,13690,46630,49640,117655,2018-11-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,100590,327890,246160,138181,2018-11-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,3338,25118,21660,27713,2018-11-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,15830,105085,115618,93737,2018-11-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6750,40130,21810,53630,2018-11-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,13470,117620,124700,131290,2018-11-30 0:00
양화 한강공원,서울,영등포구,노들로 221,2686,21664,18015,37250,2018-11-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,3704,40882,32733,72530,2018-11-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4300,39101,26419,84910,2018-11-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,10685,52931,44495,81945,2018-11-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,13429,90716,71612,113426,2018-10-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,18630,303340,456080,186810,2018-10-31 0:00
양화 한강공원,서울,영등포구,노들로 221,3040,14811,35513,45910,2018-10-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,15760,56130,72135,145610,2018-10-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15310,101730,49060,103052,2018-10-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8280,86500,39560,79460,2018-10-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,16064,174929,270414,134294,2018-10-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,4754,63522,49234,99536,2018-10-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,139630,511070,377240,190395,2018-10-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,3800,28052,29426,34944,2018-10-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4270,43989,30508,101256,2018-10-09 0:00
양화 한강공원,서울,영등포구,노들로 221,5200,22399,35054,59480,2018-09-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4720,43010,32920,129004,2018-09-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,16468,109196,92645,115614,2018-09-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,14730,76470,54580,122287,2018-09-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,132960,441030,406720,215230,2018-09-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8590,63520,48560,89390,2018-09-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,5843,59382,62352,115540,2018-09-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,18927,193744,203422,138273,2018-09-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,22400,143880,217840,205770,2018-09-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,6040,32105,34660,34396,2018-09-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,16220,54540,65830,155520,2018-09-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,141340,424580,426910,233260,2018-08-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,16023,157591,192930,118924,2018-08-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,6630,47651,53688,93982,2018-08-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,20304,76457,49125,125012,2018-08-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8830,44240,44920,77650,2018-08-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5700,27989,28680,34569,2018-08-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,16405,87405,79251,112800,2018-08-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4744,41437,39438,87941,2018-08-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,16970,45310,69130,122745,2018-08-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,18600,141240,248230,171190,2018-08-31 0:00
양화 한강공원,서울,영등포구,노들로 221,5340,20148,35245,52475,2018-08-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3440,44638,36093,108317,2018-07-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,117180,369255,325470,181260,2018-07-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,20330,202405,241940,157640,2018-07-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,6043,35550,33800,31710,2018-07-26 0:00
양화 한강공원,서울,영등포구,노들로 221,5585,28859,39272,71302,2018-07-26 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8440,49560,48620,88110,2018-07-26 0:00
망원 한강공원,서울,마포구,마포나루길 467,5956,52976,58559,113402,2018-07-25 0:00
반포 한강공원,서울,서초구,신반포로11길 40,18666,167318,171869,110934,2018-07-25 0:00
잠실 한강공원,서울,송파구,한가람로 65,17470,51050,70830,148210,2018-07-19 0:00
난지 한강공원,서울,마포구,한강난지로 22,22772,86399,92151,119386,2018-07-18 0:00
광나루 한강공원,서울,강동구,선사로 83-106,18840,90910,53110,111263,2018-07-10 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3370,43883,33286,115673,2018-06-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,4842,76412,59547,118385,2018-06-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,6160,34160,35050,0,2018-06-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,15300,59470,69440,0,2018-06-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,21017,72922,49720,117933,2018-06-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,20380,247920,353660,175330,2018-06-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8450,57310,45830,86420,2018-06-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,73140,514980,235920,272120,2018-06-30 0:00
양화 한강공원,서울,영등포구,노들로 221,6385,48012,35073,0,2018-06-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,23566,95318,74075,108757,2018-06-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,13446,150221,162970,0,2018-06-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,24530,84422,49252,115382,2018-05-23 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,57370,529040,228670,225420,2018-05-15 0:00
잠실 한강공원,서울,송파구,한가람로 65,15350,63980,63905,146804,2018-05-15 0:00
망원 한강공원,서울,마포구,마포나루길 467,5581,91231,59320,121825,2018-05-15 0:00
양화 한강공원,서울,영등포구,노들로 221,4771,54821,30967,75804,2018-05-15 0:00
여의도 한강공원,서울,영등포구,여의동로 280,25755,306470,303400,180910,2018-05-15 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8560,61520,43840,81340,2018-05-15 0:00
반포 한강공원,서울,서초구,신반포로11길 40,14905,201205,158674,123111,2018-05-15 0:00
잠원 한강공원,서울,강남구,강남대로 708,7225,45681,49043,63783,2018-05-15 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3130,45597,29596,148146,2018-05-15 0:00
난지 한강공원,서울,마포구,한강난지로 22,31375,116640,58650,98535,2018-05-15 0:00
망원 한강공원,서울,마포구,마포나루길 467,3426,89362,54625,117825,2018-04-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,6810,36967,42382,54942,2018-04-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,19289,150073,140563,111095,2018-04-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,8250,57690,37890,72360,2018-04-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,12920,59250,53190,136970,2018-04-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,46110,495730,168360,271810,2018-04-30 0:00
양화 한강공원,서울,영등포구,노들로 221,4596,57069,29163,71112,2018-04-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,28885,101500,53870,90200,2018-04-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,34310,1417210,1460500,213290,2018-04-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,20120,75690,40770,105514,2018-04-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2830,43980,25000,97422,2018-04-11 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7770,60000,40220,82960,2018-03-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,17345,116142,117665,80911,2018-03-31 0:00
양화 한강공원,서울,영등포구,노들로 221,4108,48371,25290,61042,2018-03-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,3508,68631,44538,98314,2018-03-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,28110,89150,43885,72835,2018-03-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,7790,57220,23910,53544,2018-03-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,13240,60800,51030,129495,2018-03-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,23980,107040,45085,112501,2018-03-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,15669,226055,117317,107689,2018-03-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3308,43455,22302,101245,2018-03-15 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,52110,519520,143030,274390,2018-03-01 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15830,70195,33300,62433,2018-02-28 0:00
잠실 한강공원,서울,송파구,한가람로 65,10980,50630,44195,90981,2018-02-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,11857,80850,52799,67920,2018-02-28 0:00
잠원 한강공원,서울,강남구,강남대로 708,5983,41450,19062,41873,2018-02-28 0:00
망원 한강공원,서울,마포구,마포나루길 467,2326,39801,28333,57524,2018-02-28 0:00
난지 한강공원,서울,마포구,한강난지로 22,19600,81510,39420,80220,2018-02-28 0:00
양화 한강공원,서울,영등포구,노들로 221,3394,34135,15941,35864,2018-02-28 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6110,45630,26300,57560,2018-02-28 0:00
여의도 한강공원,서울,영등포구,여의동로 280,21265,40500,45510,48910,2018-02-28 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2555,30168,18457,56222,2018-02-01 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,39930,395030,124330,163710,2018-02-01 0:00
난지 한강공원,서울,마포구,한강난지로 22,16635,97665,34690,80320,2018-01-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,6156,47314,21075,37610,2018-01-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,2819,39603,28697,60658,2018-01-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,17720,71260,30830,65319,2018-01-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,12902,91924,56107,85129,2018-01-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6070,43950,28340,55200,2018-01-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,12700,53510,45450,105695,2018-01-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,17920,100690,113010,49190,2018-01-31 0:00
양화 한강공원,서울,영등포구,노들로 221,3860,37975,18209,36339,2018-01-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,44450,449660,129590,168100,2018-01-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,2329,29174,17230,54027,2018-01-01 0:00
