공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
반포 한강공원,서울,서초구,신반포로11길 40,69550,296100,734100,371850,2023-06-30 0:00
양화 한강공원,서울,영등포구,노들로 221,81396,94250,59126,51020,2023-06-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,13895,28889,21507,50711,2023-06-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,6400,137450,231670,149190,2023-06-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,15520,256820,526320,46970,2023-06-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6780,89224,76348,123187,2023-05-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,4715,294430,379960,50460,2023-05-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,7745,19060,20463,37064,2023-05-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,72340,303100,640835,272750,2023-05-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,4260,70370,33220,73475,2023-05-31 0:00
양화 한강공원,서울,영등포구,노들로 221,73890,86637,77425,56600,2023-05-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,5700,214580,302240,170075,2023-05-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,22870,57250,69300,259070,2023-05-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,23568,45862,44887,40711,2023-05-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,19405,37905,53835,68960,2023-05-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,9971,26050,10415,213104,2023-05-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6318,88821,65770,106377,2023-04-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,70400,273700,360790,377060,2023-04-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,19440,39165,46430,71122,2023-04-30 0:00
양화 한강공원,서울,영등포구,노들로 221,88726,85901,53625,65400,2023-04-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,15498,38110,61882,42092,2023-04-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,8000,151720,173720,121895,2023-04-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,9086,24380,10079,154270,2023-04-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,39000,177695,193105,65045,2023-04-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,4070,55720,35221,58890,2023-04-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,9739,35117,13695,31299,2023-04-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,19140,51200,54750,200705,2023-04-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,15993,42586,40701,49266,2023-03-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,26450,57740,61880,82049,2023-03-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,11270,20962,11237,130675,2023-03-31 0:00
양화 한강공원,서울,영등포구,노들로 221,40936,43011,37220,53306,2023-03-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,5890,62830,29620,57855,2023-03-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,6092,20830,14382,38456,2023-03-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,4600,205910,201100,90050,2023-03-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,23600,70250,67920,215815,2023-03-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7418,90840,58887,114278,2023-03-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,52300,162600,231965,43715,2023-03-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,41970,137250,213465,20111,2023-03-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5883,21801,6286,92130,2023-02-28 0:00
광나루 한강공원,서울,강동구,선사로 83-106,1700,31720,14380,29115,2023-02-28 0:00
